0,0,0
3,0,0
3,0,9
9,0,9
9,0,12
17,0,12
17,0,15
17,0,19
20,0,19
25,0,19
25,0,12
26,0,12
27,0,12
32,0,12
32,0,20
32,0,25
35,0,25
37,0,25
41,0,25
41,0,32
41,0,30
41,0,28
41,0,33
41,0,38
41,0,46
41,0,48
41,0,52
49,0,52
57,0,52
57,0,50
57,0,52
57,0,44
57,0,40
64,0,40
64,0,32
64,0,38
73,0,38
79,0,38
84,0,38
84,0,37
90,0,37
98,0,37
98,0,41
104,0,41
104,0,33
104,0,42
105,0,42
105,0,43
105,0,35
105,0,40
105,0,47
112,0,47
112,0,39
116,0,39
121,0,39
121,0,30
121,0,34
125,0,34
125,0,29
125,0,35
128,0,35
130,0,35
133,0,35
139,0,35
139,0,31
139,0,24
145,0,24
147,0,24
147,0,25
150,0,25
153,0,25
155,0,25
155,0,31
157,0,31
161,0,31
170,0,31
171,0,31
171,0,25
178,0,25
178,0,31
178,0,38
184,0,38
184,0,34
184,0,41
184,0,32
184,0,30
184,0,36
184,0,42
193,0,42
193,0,44
198,0,44
198,0,41
198,0,35
201,0,35
204,0,35
204,0,27
205,0,27
214,0,27
223,0,27
223,0,21
226,0,21
228,0,21
236,0,21
236,0,13
241,0,13
241,0,7
250,0,7
250,0,11
250,0,16
257,0,16
257,0,22
265,0,22
265,0,13
267,0,13
267,0,21
267,0,17
274,0,17
274,0,26
279,0,26
286,0,26
286,0,30
289,0,30
296,0,30
300,0,30
307,0,30
311,0,30
311,0,29
311,0,30
311,0,36
311,0,32
313,0,32
313,0,37
313,0,45
313,0,46
313,0,44
313,0,50
313,0,53
318,0,53
323,0,53
323,0,58
326,0,58
329,0,58
329,0,67
329,0,76
329,0,71
329,0,76
329,0,79
331,0,79
331,0,80
331,0,74
331,0,75
331,0,78
331,0,85
334,0,85
339,0,85
346,0,85
346,0,76
346,0,67
346,0,68
348,0,68
348,0,64
348,0,65
348,0,61
351,0,61
356,0,61
356,0,63
363,0,63
363,0,69
363,0,71
370,0,71
377,0,71
377,0,80
377,0,76
377,0,82
377,0,83
377,0,88
377,0,93
377,0,96
377,0,97
386,0,97
390,0,97
390,0,89
390,0,90
390,0,83
390,0,90
390,0,98
390,0,96
390,0,105
390,0,107
393,0,107
399,0,107
404,0,107
406,0,107
412,0,107
412,0,111
417,0,111
417,0,106
420,0,106
420,0,110
423,0,110
423,0,114
432,0,114
439,0,114
448,0,114
455,0,114
455,0,110
455,0,113
460,0,113
469,0,113
478,0,113
478,0,118
487,0,118
487,0,119
487,0,122
489,0,122
494,0,122
502,0,122
502,0,128
502,0,132
503,0,132
503,0,126
503,0,134
503,0,130
503,0,122
506,0,122
506,0,125
506,0,127
509,0,127
513,0,127
513,0,136
513,0,140
519,0,140
519,0,135
525,0,135
525,0,134
525,0,137
534,0,137
534,0,142
534,0,146
543,0,146
543,0,140
552,0,140
554,0,140
554,0,141
561,0,141
566,0,141
566,0,145
572,0,145
572,0,151
572,0,148
572,0,140
572,0,146
580,0,146
583,0,146
583,0,152
583,0,155
583,0,158
583,0,152
583,0,146
583,0,145
590,0,145
590,0,143
595,0,143
600,0,143
600,0,140
607,0,140
607,0,137
607,0,144
607,0,145
616,0,145
623,0,145
623,0,146
630,0,146
638,0,146
640,0,146
640,0,147
640,0,144
640,0,150
645,0,150
649,0,150
651,0,150
651,0,158
654,0,158
654,0,167
654,0,171
654,0,162
654,0,164
654,0,170
654,0,168
654,0,159
655,0,159
655,0,167
658,0,167
658,0,171
658,0,173
667,0,173
669,0,173
669,0,176
669,0,184
669,0,191
669,0,198
669,0,196
669,0,203
669,0,205
669,0,209
677,0,209
678,0,209
678,0,214
680,0,214
681,0,214
687,0,214
687,0,221
688,0,221
688,0,225
689,0,225
689,0,218
689,0,225
691,0,225
691,0,229
700,0,229
700,0,228
707,0,228
710,0,228
713,0,228
713,0,230
713,0,236
713,0,235
713,0,236
713,0,243
715,0,243
721,0,243
721,0,248
721,0,244
721,0,253
721,0,247
722,0,247
726,0,247
726,0,256
726,0,249
726,0,257
726,0,251
726,0,259
726,0,264
726,0,269
726,0,271
733,0,271
735,0,271
735,0,269
735,0,260
741,0,260
741,0,269
741,0,275
744,0,275
744,0,283
747,0,283
749,0,283
749,0,292
754,0,292
754,0,289
759,0,289
759,0,290
759,0,289
759,0,292
760,0,292
765,0,292
765,0,299
773,0,299
779,0,299
779,0,303
779,0,312
784,0,312
786,0,312
786,0,320
786,0,323
786,0,329
786,0,331
786,0,332
792,0,332
793,0,332
799,0,332
799,0,323
799,0,327
799,0,320
804,0,320
804,0,314
804,0,317
810,0,317
813,0,317
815,0,317
817,0,317
817,0,316
817,0,325
819,0,325
822,0,325
822,0,324
825,0,324
827,0,324
827,0,328
827,0,336
827,0,327
827,0,326
831,0,326
831,0,324
831,0,330
834,0,330
834,0,335
834,0,330
834,0,323
834,0,324
835,0,324
842,0,324
842,0,328
846,0,328
848,0,328
856,0,328
856,0,335
856,0,343
856,0,351
861,0,351
